English	English	Synonym	Synonym	Synonym	Synonym	Russian	Russian	Russian	Russian	Russian	Synonym	Synonym	Synonym	Definition	Compare	See_also	See_also	See_also
immunization campaign						прививочная кампания								Иммунизация населения в строго ограниченный промежуток времени в дополнение к плановым прививкам.					
immunization card		immunization record	vaccination card			прививочная карта	карта профилактических прививок									vaccination card (прививочная карта).			
immunization coverage						охват населения прививками													
immunization coverage rate						показатель охвата населения прививками								Доля привитых в группе, подлежащей прививкам.					
immunization coverage survey						выборочная оценка охвата населения прививками								Проводится для подтверждения или опровержения данных плановой отчетности путем опроса населения и проверки прививочных карт.					
Immunization monitoring charts						Графики (диаграммы) прививочных мероприятий	сводные таблицы прививок												
immunization point (site, center)		vaccinating center				прививочный пункт или центр													
immunization reaction		postvaccinal reaction				поствакцинальная реакция										adverse events following immunization (поствакцинальные побочные проявления).			
immunization room						прививочный кабинет													
immunization schedule						календарь прививок								Схема или расписание проведения прививок целевым возрастным группам населения. Например, Национальный календарь профилактических прививок (National Immunization Schedule).					
immunization services						службы иммунизации (вакцинопрофилактики)													
immunization services support						финансовая поддержка служб вакцинопрофилактики								Система финансирования ГАВИ, которая с учетом эффективности работы в странах создает для них финансовые стимулы в целях улучшения показателей здоровья, - в данном случае речь идет о повышении уровней охвата прививками.					
immunization session						прием в медучреждении для проведения прививок и проведение иммунизации на выезде в определенном месте и в определенное время	сеанс проведения иммунизации												
immunization status						прививочный статус													
immunization waste disposal						обработка и удаление отходов, образующихся при иммунизации													
immunobiologicals		immunotherapeutic agents				иммунобиологические препараты					иммунотерапевтические средства			Применяются для создания иммунологической невосприимчивости к инфекционным болезням. К ним относятся вакцины, анатоксины и иммуноглобулины.					
immunocompetent						иммунокомпетентный								Обладающий способностью реализовать иммунный ответ - например, об органе, о клетке.					
immunocompetence						иммунологическая компетентность								Способность организма дать иммунный ответ.					
immunodeficiency						иммунодефицит								Неспособность иммунной системы к выработке достаточной реакции на антиген.					
immunoelectrophoresis						иммуноэлектрофорез								Лабораторный метод.					
immunofluorescence	immunofluorescence technique					иммунофлюоресценция	иммунофлуоресцентный анализ							Лабораторный метод.					
immunogen						иммуноген								Антиген, на который возникает иммунный ответ.					
immunogenic activity						иммуногенная активность													
immunogenicity		immunogenic activity				иммуногенность								Способность препарата вызывать иммунный ответ.					
immunoglobulins						иммуноглобулины								Препараты для пассивной иммунизации, содержащие антитела. Ранее известны как гамма-глобулины.					
immunologic reactions						иммунологические реакции								Процессы, происходящие при взаимодействии антигена с антителом.					
immunologic test						иммунологический тест								Лабораторный метод исследования иммунитета.					
immunological tolerance		immunological unresponsiveness				иммунологическая толерантность													
immunological interference						иммунологическое взаимовлияние								Например, комбинированных вакцин					
immunological memory						иммунологическая память								Существование иммунной защиты против специфического возбудителя спустя много лет после перенесенного заболевания.					
immunomodulators						иммуномодуляторы								Препараты, способные влиять на иммунные процессы в организме в сторону их усиления.					
immunosuppression						иммуносупрессия	подавление (угнетение) иммунитета	иммунодепрессия						Подавление иммунитета, вызываемое некоторыми болезнями и препаратами. Ослабление иммунного ответа.					
immunotherapy						иммунотерапия								Использование антител, антигенов или иммуномодуляторов для лечения больного.					
implementation						внедрение	осуществление												
importation of virus						завоз (занос) вируса													
imported case						завозный случай (инфекции)													
imported infections						завозные инфекции					завозимые инфекции			Инфекционные болезни, возбудители которых появляются на данной территории извне.					
inactivated vaccine		killed vaccine				инактивированная вакцина					убитая вакцина								
inactivated-bacteria vaccines						инактивированные бактериальные вакцины								изготавливаются из убитых бактерий или частей бактериальной клетки.					
inactivated-virus vaccines						инактивированные вирусные вакцины								изготавливаются из убитых вирусов.					
inactivated poliomyelitis vaccine						инактивированная полиомиелитная вакцина (Солка)								изготовленная из убитых вирусов вакцина против полиомиелита.					
inactivation						инактивация	обезвреживание							Воздействие на болезнетворный микроорганизм с целью ликвидации его патогенных свойств.					
inapparant infection		asymptomatic infection				инаппарантная (бессимптомная) инфекция								Инфекционный процесс без выраженных клинических проявлений.					
inborn (congenital or specific) immunity						врожденный (видовой, наследственный) иммунитет								Генетически детерминированная невосприимчивость человека и одних видов животных к болезням, поражающим другие виды, например, резистентность человека к вирусу собачьей чумы.					
incidence						заболеваемость								Число случаев заболевания, возникших в течение определенного времени в определенной группе населения.					
incidence rate						показатель заболеваемости								Число новых случаев заболевания в данной группе населения за определенный временной промежуток, относимое к численности всей группы, в которой они произошли (на тысячу или сто тысяч населения).					
incineration						высокотемпературное сжигание отходов								Высокотемпературное сжигание твердых медицинских отходов может заметно сократить количество тех отходов, которые подлежат захоронению в землю, благодаря чему уменьшается риск здоровью персонала служб вывоза мусора и населения в целом. Такой метод применим лишь в тех случаях, когда имеются специальные печи для сжигания отходов.					
incinerator						печь для сжигания отходов								Высокотемпературная печь для сжигания отходов, обеспечивающая наиболее полное разрушение шприцев и игл.					
incoming control						входной контроль								Контроль сырья, реактивов и других материалов, поступающих на предприятие для изготовления препаратов.					
incubation						инкубация	термостатирование	выдерживание в термостате											
incubation period						инкубационный период								Временной интервал между проникновением возбудителя в организм хозяина и появлением первых признаков или симптомов заболевания.					
in-depth interview						углубленная беседа								Получение необходимых сведений путем диалога или опроса на индивидуальной основе.					
index of vaccine use						показатель расходования вакцины													
indications						показания (к иммунизации)													
indicator						индикатор								Вещество, претерпевающее заметные изменения (обычно цветовые) и используемое для определения качественных характеристик данной среды.					
indigenous case of poliomyelitis						местный случай полиомиелита								Случай полиомиелита, при котором выделен дикий полиовирус, выявленный у больного, находящегося в течение максимального инкубационного периода (35 дней) в пределах страны при отсутствии контакта с лицами, прибывшими из эндемичных по полиомиелиту территорий.					
indigenous wild poliovirus						местный случай “дикого” полиомиелита													
indirect hemagglutination						непрямая гемагглютинация								Лабораторный метод исследования с использованием эритроцитарных диагностику мов.					
indirect hemagglutination assay (test)						реакция непрямой гемагглютинации								Лабораторный тест с использованием эритроцитарных диагностику мов.					
indirect immunofluorescence antibody test		indirect immunofluorescent assay	indirect fluorescence immunoassay			метод непрямой иммунофлюоресценции (антител)					непрямой иммунофлуоресцентный анализ (метод)	непрямой ИФА	реакция непрямой иммунофлуоресценции			immunofluorescence technique (иммунофлуоресцентный метод).			
infant						младенец	ребенок грудного возраста							Ребенок в возрасте до 1 года.					
infant mortality rate						показатель младенческой смертности								Отношение числа смертных случаев среди детей в возрасте до одного года к числу живорожденных (в расчете на тысячу родившихся живыми) в течение года.					
infection						инфицирование	заражение							Проникновение и развитие или размножение возбудителя инфекции в живом организме.					
infection control						борьба с инфекцией								Комплекс профилактических и противоэпидемических мероприятий по снижению риска передачи инфекции.					
infection source						источник инфекции	источник возбудителя инфекции или инвазии (источник заражения)												
infectious diseases hospital (department)						инфекционная больница (инфекционное отделение)													
infectiousness						контагиозность													
infectivity						инфекциозность	инфективность							Способность возбудителя передаваться, выживать и размножаться в организме хозяина.					
inflammation						воспаление								Патологическая реакция тканей организма, характеризуется припухлостью, краснотой, жаром и болью.					
inflammatory reaction						воспалительная реакция								Местная реакция на внедрение микроорганизма или введение антигена.		inflammation (воспаление).			
influenza						грипп													
information, education, communication						информация, просвещение, коммуникация													
injection equipment						инъекционное оборудование								Инъекционное оборудование, которое может использоваться для введения вакцин.					
injection						инъекция								введение препарата при помощи шприца, безыгольного инъектора или других инъекционных устройств.					
intradermal						внутрикожная													
subcutaneous						подкожная													
intramuscular						внутримышечная													
intravenous						внутривенная													
injection safety						безопасность инъекций								Обеспечение проведения инъекций, не нанося вред пациенту или вакцинируемому, а также предотвращая вред, которому может подвергаться медперсонал и население, которое может контактировать с медицинскими отходами, образующимися при проведении инъекций.					
in-house reporting form						форма внутренней отчетности													
innate immunity						наследственный иммунитет										inborn immunity (врожденный иммунитет).			
inoculation						инокуляция	прививка												
inputs						вклад	вложение средств							Общий объем ресурсов целевого назначения, используемый для упорядоченного функционирования системы. Основными необходимыми ресурсами являются кадровые, финансовые, материально-технические, информационные и временные.					
in-service training						обучение без отрыва от основной работы													
institutional						институционный	институциональный	формально установленный											
institutional arrangements						организационные мероприятия													
insulation						изоляция								материал, используемый для изоляции холодильника (морозильника, термоконтейнера и т.п.)					
integrated disease surveillance						интегрированный эпиднадзор за болезнями													
interaction						взаимодействие													
Inter-agency Coordinating Committee						Межведомственный координационный комитет								в их состав могут входить представители ВОЗ, ЮНИСЕФ, НПО и частного сектора. В соответствии с требованиями ГАВИ, на всех заявках от стран на оказание помощи от Фонда вакцин и годовых отчетах о ходе работы должны стоять подписи членов МКК.					
interferons						интерфероны								Иммунные белки. Протеины, вырабатываемые клетками организма, которые подавляют репродукцию вирусов, а также размножение других внутриклеточных паразитов (риккетсий и др.).					
intermediate product						промежуточный продукт								Продукт, прошедший часть производственных стадий, но подлежащий дальнейшей обработке, прежде чем стать полуфабрикатом.					
intermediate vaccine store						промежуточный вакцинный склад								Промежуточный склад получает вакцины с центрального вакцинного или другого промежуточного склада и отпускает вакцины нижестоящим складам по заявкам.					
International Drug Purchase Facility						Международный механизм закупки лекарств								Международный механизм закупки лекарств. Его целью является финансирование закупок лекарств и вакцин для борьбы против ВИЧ/СПИДа, туберкулеза и малярии.					
International Finance Facility for Immunization						Международный механизм финансирования иммунизации								Международный механизм финансирования иммунизации учрежден как новый международный финансовый институт развития, финансовую основу которого составляют юридически оформленные финансовые обязательства суверенных доноров. Аккумулированные в рамках Механизма средства будут направляться на реализацию программ Глобального альянса по вакцинам и иммунизации в беднейших странах с доходом на душу населения менее 1000 долл. США.					
International Health Regulations						Международные медико-санитарные правила													
International Nonproprietary Name						Международное непатентованное наименование								Название препарата, принятое ВОЗ.					
International Units						Международные единицы								Мера измерения активности биологических препаратов.					
intersectorial approach						межсекторальный подход (сотрудничество)													
intestinal mucosa						слизистая оболочка кишечника								Играет важную роль в формировании клеточного иммунитета.					
intervention		procedure				вмешательство	мера вмешательства							В области иммунизации под термином interventions как правило, подразумеваются профилактические мероприятия.					
interview						опрос													
interviewer						интервьюер													
intradermal (intracutaneous) test						внутрикожный тест													
intracellular pathogens						внутриклеточные возбудители													
Intramuscular injection						Внутримышечная инъекция													
intratypic differentiation						внутритиповая дифференциация													
invasiveness						инвазивность								Способность микроорганизма преодолевать клеточные, тканевые и гуморальные защитные барьеры. Под инвазивными заболеваниями (invasive diseases) чаще всего подразумеваются тяжелые системные заболевания.					
investment case						обоснование инвестиций	обоснование дополнительных ассигнований												
investment case framework						процедура рассмотрения заявок на дополнительные ассигнования													
investment case guidelines						руководство (инструкция) по составлению обоснования инвестиций								Разработанные Всемирным банком методические рекомендации, которые в общих чертах определяют формат и содержание обоснования инвестиций на случай его составления.					
isolate						изолят (микроорганизма)								Культуры вирусов или других микробов, изолированные из какого-либо					
isolation						изоляция	выделение							(1) Отделение больного или носителя возбудителя инфекции от восприимчивых лиц на период, пока он может распространять инфекцию. (2) В микробиологии: выделение микроорганизма путем последовательных посевов.					
Japanese encephalitis						японский энцефалит													
jet injector		needle-free injector				безыгольный инъектор								Безыгольное устройство, с помощью которого обеспечивается введение вакцины в организм под давлением прямо через кожу без какой-либо иглы.					
Joint Reporting Form						Единая форма отчетности													
keep up vaccination						плановая вакцинация	сохранение высоких уровней охвата плановой вакцинацией												
kerosene						керосин													
killer cells		К cells				клетки-киллеры	клетки-убийцы							Вид клеток. Субнопуляция клеток иммунной системы.					
killed vaccine						убитая вакцина										inactivated vaccine (инактивированная вакцина).			
killing disease						болезнь-убийца								Термин, обычно применяющийся к болезням с высокими показателями летальности.					
laboratory confirmation						лабораторное подтверждение (предполагаемого диагноза, случаев заболевания)													
laboratory containment						безопасное хранение лабораторного материала								Обеспечение биологической безопасности лабораторного хранения (контейнмента) возбудителей (например поливирусов в рамках Глобальной программы ликвидации полиомиелита).					
laboratory data management system						система работы с данными лабораторных исследований								Работа с лабораторными данными подразумевает анализ и интерпретацию полученных данных, определение эпидемиологических закономерностей и тенденций, обобщение результатов в форме регулярных отчетов.					
laboratory inventory						реестр лабораторий	инвентаризация лабораторий									national laboratory inventory (национальный реестр лабораторий).			
laboratory quality assurance						обеспечение качества работы лабораторий								Организационный процесс и условия планирования работы, мониторинга и отчетности о лабораторной деятельности.					
laboratory quality control standard						стандарт контроля качества работы лаборатории													
laboratory safety						лабораторная безопасность								Система мероприятий направленных на защиту лабораторного персонала от заражения и от выноса инфекционного материала в окружающую среду.					
laboratory surveillance						эпиднадзор на основе лабораторных данных								Эпиднадзор, при котором исходным пунктом является идентификация или выделение в лаборатории конкретного микроорганизма.					
laminar flow hoods						ламинарные шкафы (и боксы)	лабораторные шкафы биологической безопасности	ламинар (разг.)						Лабораторные шкафы биологической безопасности (ламинарные шкафы и боксы) разработаны с целью защиты персонала лаборатории, окружающей среды и рабочих материалов					
landfilling		landfill				закапывание отходов								засыпка землей (медико-санитарных отходов) в специально отведенных для этого местах		sanitary landfill (санитарное захоронение отходов).			
laryngeal swab						мазок из гортани								Используется для диагностики ряда инфекций, когда больной не может самостоятельно выделить мокроту для исследования (преимущественно у детей); забор мазков производится врачом.		throat swab (мазок из зева)			
latent immunization						латентная иммунизация								Процесс выработки иммунитета в результате единичной или повторной инаппарантной бессимптомной инфекции.					
latent infection						латентная инфекция					скрытая инфекция			Бессимптомное наличие возбудителя инфекции в организме хозяина (часто без нахождения его в крови, тканях и выделениях).					
latent period (latency)						латентный период								Промежуток между проникновением возбудителя в организм хозяина и появлением симптомов болезни.					
latex agglutination test						реакция агглютинации латексных частиц	реакция латекс-агглютинации							Лабораторный метод.					
lead time						цикл заказа								Время от оформления контракта или выдачи задания до начала поставки препарата. Например, среднее время прохождения заказа (average lead time).					
lessons learnt						извлеченные (полученные) уроки (опыт)													
leukocyte antigen						лейкоцитарный антиген													
lifelong immunity						пожизненный иммунитет	иммунитет на всю жизнь												
light microscope						световой микроскоп													
lineage						линия (направление) дифференцировки													
cell line (strain)		cell lineage				клеточная линия					клеточная родословная								
genetic lineage						генетическая родословная													
line-listing (of reported cases)						учет зарегистрированных случаев										case-based data (поименные данные).			
lipopolysaccharides						липополисахариды								Молекулярные компоненты микробной клетки.					
liquid-crystal thermometer						термометр на жидких кристаллах	термометр с жк-дисплеем												
liquid phase immunoassay						иммунный анализ в жидкой фазе								Лабораторный метод.	enzyme-linked immunosorbent assay (иммуноферментный (твердофазный) анализ)				
list of infectious and potentially infectious materials						перечень инфекционных и потенциально инфекционных материалов													
live attenuated virus vaccines						живые аттенуированные вирусные вакцины													
live-bacteria vaccines						живые бактериальные вакцины								Вакцины, состоящие из живых ослабленных бактерий.					
live birth						живорожденный								Согласно определению ВОЗ, живорожденным считается рождение или извлечение из организма матери плода, который дышит или имеет другие доказательства жизни, такие как сердцебиение, пульсация пуповины или движения мышц, вне зависимости от того, была ли пуповина рассечена или соединена с плацентой.					
live-virus vaccines						живые вирусные вакцины								Вакцины, содержащие живые ослабленные вирусы.					
local production of vaccines						отечественное производство вакцин													
loose stool						частый жидкий стул (диарея)													
logistics						материально-техническое обеспечение								Планирование, обеспечение, мониторинг и управление снабжением медикаментами и биологическими препаратами, расходными материалами, оборудованием.					
long-term						длительный	долгосрочный	продолжительный											
lot						лот	серия (партия)							выборка определенного объема или размера.		batch (lot) (серия (партия)).			
lot quality assurance survey						качественная оценка методом случайной выборки лотов								Данный метод основан на стратифицированной случайной выборке для сбора данных и для проверки односторонней гипотезы при анализе данных.					
lot quality technique						метод случайной выборки лотов								Используется для получения достоверной оценки.					
lot-to-lot precision						сохранение сходимости параметров препарата от серии к серии													
low fever		low-grade fever				субфебрильная температура	субфебрильная лихорадка							Повышенная температура тела, не превышающая + 38°С.					
low income countries						страны с низким уровнем дохода (на душу населения)													
low income countries under stress						страны с низким уровнем дохода, находящиеся в сложном финансовом положении								Страны с низким уровнем дохода, находящиеся в сложном финансовом положении, характеризуются крайне слабой политикой, неразвитой институциональной структурой и системой государственного управления.					
low season of poliovirus transmission						сезон низкой передачи полиовирусов													
lymph nodes						лимфатические узлы													
lymphadenopathy						лимфаденопатия								Увеличение лимфатических узлов.					
lymphocytes						лимфоциты								Неоднородная популяция клеток крови, играющих основную роль в иммунной системе, обладают специфичными рецепторами для определенных антигенных детерминант и различающихся по своим функциям в процессе иммунного ответа.					
lymphokines						лимфокины								Медиаторы клеточного иммунитета.					
lyophilized vaccine		freeze-dried vaccine				лиофилизированная вакцина								Сухая вакцина, которая подверглась замораживанию с последующим высушиванием в вакууме.					
macrophages						макрофаги								Вид лимфоцитов, которые обеспечивают неспецифическую защиту за счет фагоцитоза и участвуют в развитии иммунного ответа как антигенпредставляющие клетки (antigen presenting cells).					
mainstreaming						подтягивание отстающих стран или территорий к уровню передовых стран													
maintenance						поддержание	обслуживание	уход за оборудованием	техническое обслуживание и ремонт										
maintenance of immunity						поддержание иммунитета на должном уровне													
management						управление (деятельностью программы, организации)													
management of patients						ведение больных													
management system						система управления													
manual						руководство	учебное пособие												
March of Dimes						Фонд помощи детям с врожденными дефектами “Марш десятицентовиков”								Фонд по оказанию помощи детям с родовыми травмами. Штаб-квартира в г. Уайт-Плейнс, шт. Нью-Йорк.					
market						рынок													
market research						изучение возможностей рынка													
market segment						рыночный сегмент								Выбор узкого участка рынка для изучения реакций потребителей.					
marketing						маркетинг								Продвижение товаров и услуг от производителя к потребителю, включая изучение спроса, рекламную деятельность и т. д.					
marketing mix						рецепт маркетинга								Деятельность по маркетингу продукции или услуг.					
marketing plan						план маркетинга													
marrow		bone marrow				костный мозг													
mass media						средства массовой информации								Пресса, радио, телевидение и т. д.					
mass screening						массовый скрининг													
master seed strain						производственный штамм								Штамм микроорганизма, который хранится на производстве в определенных условиях и используется для приготовления иммунобиологических препаратов.					
matching						подбор	приведение в соответствие	адаптация	перекрестное типирование	проба на совместимость				Процесс, направленный на то, чтобы сделать исследуемую и контрольную группу сопоставимыми с точки зрения внешних факторов. Можно выделить несколько видов подбора:					
caliper matching						интервальный подбор													
frequency matching						частотный подбор													
category matching						категорийный подбор													
individual matching						индивидуальный подбор													
pair matching						парный подбор													
maternal and neonatal tetanus						столбняк матерей и новорожденных								СМН, поражающий новорожденных детей и их матерей является следствием родов в антисанитарных условиях.					
maternal and neonatal tetanus elimination						элиминация столбняка матерей и новорожденных								Под элиминацией столбняка новорожденных имеется в виду снижение числа случаев столбняка новорожденных до менее 1 на 1000 живорожденных в каждом районе в любой стране.					
maternal antibodies						материнские антитела								Антитела, передаваемые плоду от матери и защищающие ребенка от инфекции в течение определенного времени после рождения.					
maternal mortality						материнская смертность								Случаи смерти во время родов, осложненной беременности и в послеродовом периоде.					
maternal tetanus						столбняк матерей													
maturation of lymphocytes						созревание лимфоцитов								Процесс выработки способности лимфоцитов участвовать в иммунном ответе организма на внедрение антигена.					
measles						корь								Одна из целевых инфекций Расширенной программы иммунизации ВОЗ.					
measles, mumps and rubella vaccine						тривакцина против кори, эпидемического паротита и краснухи													
measles vaccine						вакцина против кори	коревая вакцина									measles, mumps and rubella vaccine (тривакцина против кори-паротита- краснухи).			
measles vaccination days						дни вакцинации против кори													
measure						мера	степень												
measurement						измерение													
MECACAR Operation						Операция МЕКАКАР								Международное сотрудничество по ликвидации полиомиелита как между странами Европейского и Восточно-Средиземноморского регионов ВОЗ, так и партнерами (Ротари Интернашионал, ЮНИСЕФ, Центры по борьбе с болезнями, США; Агентство США по международному развитию). Аббревиатура образована из начальных букв английского названия следующих регионов: Средиземноморский, Кавказ и Республики Центральной Азии.					
media plan						план использования средств массовой информации								Планирование привлечения средств массовой информации к санитарно- просветительской деятельности.					
